Job Title,Company,Loaction,PostDate,CurrentDate,Summary,Salary,Joburl
"WebMethods Developer (Engineer I, Software Engineering)",Xerox,"Kochi, Kerala",30+ days ago,"June 16, 2021","Help Xerox and trading partners business and technical teams identify which EDI documents are required for integrations, and be able to explain and discuss those EDI documents and assist with the…",,https://in.indeed.com/rc/clk?jk=dbcdd32429077bf0&fccid=fd6a32f24dd4ee0d&vjs=3
Front End Developer,farmers freshzone,"Kochi, Kerala",25 days ago,"June 16, 2021",You’ll be an exceptional problem solver and take responsible actions in ensuring the application is optimized both in technology and in delivering best user experience.,,https://in.indeed.com/company/farmers-freshzone/jobs/Front-End-Developer-99cd0ad78136ff79?fccid=42ae7e657f7e40a5&vjs=3
Android Developer,2basetechnologies,"Kochi, Kerala",26 days ago,"June 16, 2021","You will be part of a highly talented software team and will be responsible for application development while providing expertise in the full software development life cycle, from concept and design…",,https://in.indeed.com/rc/clk?jk=d2e96347ea25b73c&fccid=463ea9db97c9f37f&vjs=3
Developer Trainee,Inexoft Technologies,"Cannanore, Kerala",30+ days ago,"June 16, 2021","Demonstrate knowledge of current web design trends, philosophies and ideas. Exposure to all stages of Software Development Life Cycle. Required Skills Java / JSP / PHP / Python / R / .",,https://in.indeed.com/rc/clk?jk=90038644b12f53b0&fccid=1a6a0665e67e3e17&vjs=3
Software Engineer,Baker Hughes,"Kochi, Kerala",4 days ago,"June 16, 2021","Have a minimum of 3 years of hands-on technical front-end experience in application development along with established leadership credentials. Be able to design services and APIs using REST, XML, JSON…",,https://in.indeed.com/rc/clk?jk=2f16e86605251e48&fccid=f4c6ba597fc7aa75&vjs=3
Software Engineer - DL/IP,QuEST Global Engineering,"Thiruvananthapuram, Kerala",12 days ago,"June 16, 2021","2+ years in digital system design and analysis, DSP techniques, algorithm development, and applications. Ability to develop image analysis algorithms using MATLAB, Python, OpenCV, etc.",,https://in.indeed.com/rc/clk?jk=6480238e8129cb01&fccid=ad3813e46e9342cd&vjs=3
C# Developer,mindcurv,"Kochi, Kerala",30+ days ago,"June 16, 2021","Assist with the technical design, using object-oriented design techniques. Maintain current technical knowledge to support rapidly changing technology, being always on a lookout for relevant new…",,https://in.indeed.com/rc/clk?jk=cea4ea3403ca55e8&fccid=62c68433419cb874&vjs=3
Sr. Software Developer,UST Global Singapore Pte Limited,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021",HTML5; CSS3; Javascript; Jquery; Sass/Scss; Bootstrap(3/4); Responsive web design; GIT. Experience in developing Angular 7/6/5/4 Applications. 2-5 Years of experience in web application development.,,https://in.indeed.com/rc/clk?jk=06130c07cbd62428&fccid=810178099fb1fcbc&vjs=3
Software Tester,Times World Information Technology,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021",Up-to-date knowledge of software test design and testing methodologies. Prepare all reports related to software testing carried out. Interacting with clients to understand project requirements.,,https://in.indeed.com/rc/clk?jk=d233efa5aa047d86&fccid=a5a0c56192b176df&vjs=3
.Net Developer,Alisons Infomatics (P) Ltd,"Kannur, Kerala",30+ days ago,"June 16, 2021",Preferred Experience 1-10 Years. Experience with VB.net Programming. Familiarity with SQL Queries & Stored Procedures.,,https://in.indeed.com/rc/clk?jk=a4fabf2422547e67&fccid=610a038636331104&vjs=3
Junior Software Engineer - PHP,Maxwell GeoSystems,"Kochi, Kerala",30+ days ago,"June 16, 2021",Maxwell GeoSystems is an innovative SaaS company whose technology allows civil engineering professionals to generate state of the art reports and acquire real-time information throughout the entire…,,https://in.indeed.com/rc/clk?jk=6a78ca26ab98917a&fccid=1e8f8d27687e9f3c&vjs=3
SQL Developer,AdroitMinds Software Labs,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021",Ensure all documentations related to project are completed on time. Improve application performance by optimizing SQL query and stored procedures. 3+ Years of experience in developing and managing SQL…,,https://in.indeed.com/rc/clk?jk=4e7128251f03f957&fccid=1855a0fd6609fe21&vjs=3
BMCA — Senior Associate — SharePoint Developer,EY,"Kochi, Kerala",4 days ago,"June 16, 2021","The candidate should use advanced knowledge of the firm’s standard applications, especially MS Office applications, team sites, and workflow trackers using SharePoint Modern Pages.",,https://in.indeed.com/rc/clk?jk=4085e4967b1b985d&fccid=1544766d4c2915b0&vjs=3
BMCA — Senior Associate — .Net Developer,Ernst & Young,"Kochi, Kerala",4 days ago,"June 16, 2021","Should be able to develop bots using bot framework based on requirements, transform UI/UX design wireframes into real time applications to combine the arts of Design and Programming.",,https://in.indeed.com/rc/clk?jk=fe47851e1d22d345&fccid=1544766d4c2915b0&vjs=3
.Net Developer,Infosys Limited,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021","A day in the life of an Infoscion • As part of the Infosys Delivery team, you will work on implementing designs, developing high quality programs and systems, partnering with our clients to ensure…",,https://in.indeed.com/rc/clk?jk=fa39a5a231e1cff8&fccid=c67533a523c83a4c&vjs=3
Software Developer – ASP.Net C#,Cadvil,"Kochi, Kerala",30+ days ago,"June 16, 2021","Plan, review, and perform analysis, design, coding and implementation of simple to more complex internet and enterprise applications using Microsoft development products (Asp.net, C#, Visual Studio,…",,https://in.indeed.com/rc/clk?jk=e67cf507e318c077&fccid=e1467de0e2c41b21&vjs=3
Software Developer - .Net,NAICO,"Kochi, Kerala",30+ days ago,"June 16, 2021","Responsible for developing quality web applications on Microsoft platform. Net/C#/Sql Server coding following MVC/MVP architecture and established design patterns. NET MVC 3+, JQuery and HTML 5.",,https://in.indeed.com/rc/clk?jk=8b35d58171ff860e&fccid=b1cbcd6adc648987&vjs=3
DOT NET DEVELOPER – WEB,Aabasoft,"Kochi, Kerala",18 days ago,"June 16, 2021","Design and develop Data Access layer, Business layer and Presentation Layer (user interface) for the n-tier architecture web application using C#, . Ensure the best possible performance, quality, and…",,https://in.indeed.com/rc/clk?jk=8059fc52a8f16f0a&fccid=d9064d0c32b14a66&vjs=3
AngularJS Developer,Vadizen Technologies,"Kochi, Kerala",30+ days ago,"June 16, 2021",Experience - 0-3 years Skills - Strong Knowledge of JavaScript. Strong hold on JavaScript both client and server side. Clear understanding and ability to code in a multi module development environment…,,https://in.indeed.com/rc/clk?jk=254db3ef4d360041&fccid=17a89299a0076954&vjs=3
UI Developer,Aves Infotech,"Kochi, Kerala",30+ days ago,"June 16, 2021",Solid understanding of UX and UI design with an emphasis on maximizing usability. Front-end skills and some basic understanding of how back-end development works.,,https://in.indeed.com/rc/clk?jk=dbca996eb8c89b95&fccid=395da75b07c25648&vjs=3
